ticker,company_name,listed_from,listed_to,capture_broad,capture_high,activity_rank,activity_median_regular_value_60,universe_source
BLTA,Berlian Laju Tanker Tbk,1990-03-26,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BLTZ,Graha Layar Prima Tbk.,2014-04-10,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BLUE,Berkah Prima Perkasa Tbk.,2019-07-08,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BMAS,Bank Kasikorn Indonesia Tbk.,2013-07-11,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BMBL,Lavender Bina Cendikia Tbk.,2023-01-11,,1,1,27.0,124552300.0,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BMHS,Bundamedik Tbk.,2021-07-06,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BMRI,Bank Mandiri (Persero) Tbk.,2003-07-14,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BMSR,Bintang Mitra Semestaraya Tbk,1999-12-29,,1,1,97.0,10797700.0,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BMTR,Global Mediacom Tbk.,1995-07-17,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BNBA,Bank Bumi Arta Tbk.,2006-06-01,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
